Rank,Cafe,URL,home,menu,price,address,tel
1,성심당 본점,https://www.siksinhot.com/P/259149,http://www.sungsimdang.co.kr/,튀김소보로,"1,500 원",대전광역시 중구 대종로480번길 15,1588-8069
2,오씨칼국수,https://www.siksinhot.com/P/267811,홈페이지 없음,손칼국수,"6,000 원",대전광역시 동구 옛신탄진로 13,042-627-9972
3,왕관식당,https://www.siksinhot.com/P/342889,홈페이지 없음,육회(대),"6,000 원",대전광역시 동구 선화로196번길 6,042-221-1663
4,명랑식당,https://www.siksinhot.com/P/342912,http://www.myongrang.com,육개장,"9,000 원",대전광역시 동구 태전로 56-20,042-623-5031
5,바로그집,https://www.siksinhot.com/P/29392,홈페이지 없음,모듬떡볶이,"5,000 원",대전광역시 중구 중앙로 145 지하상가 C나 61호,042-254-8925
6,광천식당,https://www.siksinhot.com/P/269794,홈페이지 없음,오징어 두루치기(2인),"20,000 원",대전광역시 중구 대종로505번길 29,042-226-4751
7,농민순대,https://www.siksinhot.com/P/259347,홈페이지 없음,국밥,"5,000 원",대전광역시 중구 충무로 138,042-256-1191
8,원미면옥,https://www.siksinhot.com/P/78548,홈페이지 없음,물냉면,"6,000 원",대전광역시 동구 옥천로 421 ,042-286-7883
9,동천홍,https://www.siksinhot.com/P/47798,홈페이지 없음,사천탕면,"8,500 원",대전광역시 서구 청사로123번길 25,042-482-6267
10,수라면옥,https://www.siksinhot.com/P/259495,홈페이지 없음,회냉면,"8,500 원",대전광역시 서구 대덕대로 398,042-484-1332
